,x,y,z,priority,forward,my_area,exist
0,0,0.0875,0,109,TRUE,FALSE,FALSE
1,0,0.1875,0,108,FALSE,FALSE,TRUE
2,0,0.2875,0,107,TRUE,FALSE,TRUE
3,0,0.3875,0,106,FALSE,FALSE,TRUE
4,0,0.4875,0,105,TRUE,FALSE,TRUE
5,0,0.5875,0,104,FALSE,FALSE,TRUE
6,0,0.6875,0,103,TRUE,FALSE,TRUE
7,0,0.7875,0,102,FALSE,FALSE,FALSE
8,0,0.8875,0,1000,TRUE,FALSE,FALSE
9,-0.262,0.0665,0,226,TRUE,TRUE,TRUE
10,-0.262,0.2165,0,225,TRUE,TRUE,TRUE
11,-0.262,0.3665,0,224,TRUE,TRUE,TRUE
12,-0.262,0.5965,0,223,TRUE,TRUE,TRUE
13,-0.262,0.7465,0,222,TRUE,TRUE,TRUE
14,-0.262,0.8965,0,221,TRUE,TRUE,TRUE
15,-0.412,0.0665,0,212,TRUE,TRUE,TRUE
16,-0.412,0.2165,0,210,TRUE,TRUE,TRUE
17,-0.412,0.3665,0,208,TRUE,TRUE,TRUE
18,-0.412,0.5965,0,206,TRUE,TRUE,TRUE
19,-0.412,0.7465,0,4,TRUE,TRUE,TRUE
20,-0.412,0.8965,0,2,TRUE,TRUE,TRUE
21,-0.562,0.0665,0,211,TRUE,TRUE,TRUE
22,-0.562,0.2165,0,209,TRUE,TRUE,TRUE
23,-0.562,0.3665,0,207,TRUE,TRUE,TRUE
24,-0.562,0.5965,0,205,TRUE,TRUE,TRUE
25,-0.562,0.7465,0,3,TRUE,TRUE,TRUE
26,-0.562,0.8965,0,1,TRUE,TRUE,TRUE
