,x,y,z,priority,forward,my_area,exist
0,0,0.0875,0,12,TRUE,FALSE,FALSE
1,0,0.1875,0,11,FALSE,FALSE,TRUE
2,0,0.2875,0,10,TRUE,FALSE,TRUE
3,0,0.3875,0,9,FALSE,FALSE,TRUE
4,0,0.4875,0,8,TRUE,FALSE,TRUE
5,0,0.5875,0,7,FALSE,FALSE,TRUE
6,0,0.6875,0,6,TRUE,FALSE,TRUE
7,0,0.7875,0,5,FALSE,FALSE,FALSE
8,0,0.8875,0,99,TRUE,FALSE,FALSE
9,-0.262,0.0665,0,26,TRUE,TRUE,TRUE
10,-0.262,0.2165,0,25,TRUE,TRUE,TRUE
11,-0.262,0.3665,0,24,TRUE,TRUE,TRUE
12,-0.262,0.5965,0,23,TRUE,TRUE,TRUE
13,-0.262,0.7465,0,22,TRUE,TRUE,TRUE
14,-0.262,0.8965,0,21,TRUE,TRUE,TRUE
15,-0.412,0.0665,0,20,TRUE,TRUE,TRUE
16,-0.412,0.2165,0,18,TRUE,TRUE,TRUE
17,-0.412,0.3665,0,16,TRUE,TRUE,TRUE
18,-0.412,0.5965,0,14,TRUE,TRUE,TRUE
19,-0.412,0.7465,0,4,TRUE,TRUE,TRUE
20,-0.412,0.8965,0,2,TRUE,TRUE,TRUE
21,-0.562,0.0665,0,19,TRUE,TRUE,TRUE
22,-0.562,0.2165,0,17,TRUE,TRUE,TRUE
23,-0.562,0.3665,0,15,TRUE,TRUE,TRUE
24,-0.562,0.5965,0,13,TRUE,TRUE,TRUE
25,-0.562,0.7465,0,3,TRUE,TRUE,TRUE
26,-0.562,0.8965,0,1,TRUE,TRUE,TRUE
